date,three_band,four_band,total
9/29/14,0.32,0.01,0.34
10/6/14,0.49,0.05,0.54
10/13/14,0.62,0.07,0.69
10/20/14,0.80,0.18,0.98
10/27/14,0.99,0.15,1.15
11/9/14,0.98,0.00,0.98
11/16/14,0.64,0.01,0.64
11/23/14,0.48,0.03,0.51
11/30/14,0.43,0.11,0.54
12/7/14,0.56,0.07,0.63
12/14/14,0.42,0.08,0.50
12/21/14,0.25,0.10,0.35
12/28/14,0.13,0.13,0.26
1/4/15,0.65,0.09,0.73
1/11/15,0.57,0.08,0.66
1/18/15,0.53,0.02,0.55
1/25/15,0.51,0.07,0.58
2/1/15,0.68,0.11,0.79
2/8/15,0.67,0.05,0.72
2/15/15,0.43,0.18,0.61
2/22/15,0.38,0.14,0.52
3/1/15,0.44,0.02,0.46
3/9/15,0.54,0.01,0.55
3/16/15,0.45,0.02,0.47
3/23/15,0.21,0.23,0.44
3/30/15,0.39,0.24,0.63
4/6/15,0.82,0.56,1.38
4/13/15,0.89,0.27,1.16
4/20/15,0.71,0.40,1.10
4/27/15,0.58,0.51,1.09
5/4/15,0.70,0.49,1.20
5/11/15,0.71,0.24,0.95
5/18/15,0.54,0.45,0.99
5/25/15,0.88,0.66,1.54
6/1/15,0.94,0.39,1.33
6/8/15,1.03,0.33,1.36
6/15/15,1.07,0.07,1.14
6/22/15,0.58,0.02,0.60
6/29/15,0.48,0.02,0.51
7/20/15,0.46,0.29,0.75
7/27/15,0.09,0.53,0.61
8/3/15,0.25,0.19,0.44
8/10/15,1.12,0.01,1.13
8/17/15,1.04,0.01,1.05
8/24/15,1.91,0.11,2.02
8/31/15,1.89,0.24,2.12
9/7/15,2.75,0.14,2.89
9/14/15,3.47,0.29,3.76
9/21/15,3.58,0.96,4.54
9/28/15,3.37,0.38,3.76
10/5/15,3.53,0.43,3.96
10/12/15,2.40,0.49,2.89
10/19/15,2.75,0.66,3.41
10/26/15,2.14,0.96,3.09
11/1/15,1.95,1.31,3.27
11/8/15,2.52,1.35,3.87
11/15/15,4.05,1.10,5.15
11/22/15,5.00,1.34,6.34
11/29/15,7.51,2.92,10.43
12/6/15,5.83,2.67,8.50
12/13/15,7.16,1.78,8.93
12/20/15,11.87,3.20,15.06
12/27/15,10.82,3.30,14.12
1/3/16,13.03,2.21,15.25
1/10/16,14.79,1.79,16.57
1/17/16,14.50,2.70,17.20
1/24/16,14.03,4.27,18.30
1/31/16,10.21,3.90,14.11
2/7/16,13.25,2.03,15.28
2/14/16,15.36,2.58,17.94
2/21/16,11.73,2.06,13.78
2/28/16,10.68,1.80,12.47
3/6/16,14.91,1.10,16.00
3/14/16,13.36,2.23,15.59
3/21/16,15.27,2.77,18.04
3/28/16,9.69,3.99,13.68
4/4/16,17.27,1.31,18.58
4/11/16,14.98,0.66,15.64
4/18/16,13.70,0.95,14.65
4/25/16,9.06,1.09,10.15
5/2/16,7.24,0.66,7.90
5/9/16,9.66,1.05,10.71
5/16/16,11.27,2.24,13.51
5/23/16,6.86,5.04,11.90
5/30/16,9.24,2.68,11.92
6/6/16,12.43,3.30,15.73
6/13/16,14.56,2.28,16.84
6/20/16,13.04,4.07,17.11
6/27/16,6.85,6.17,13.03
7/4/16,5.80,8.77,14.57
7/11/16,8.30,13.14,21.44
7/18/16,5.64,20.38,26.03
7/25/16,4.58,19.74,24.32
8/1/16,6.28,17.82,24.10
8/8/16,7.60,21.17,28.77
8/15/16,6.02,32.85,38.87
8/22/16,2.84,41.35,44.19
8/29/16,2.46,47.30,49.76
9/5/16,3.45,49.19,52.64
9/12/16,4.28,56.95,61.22
9/19/16,1.59,50.85,52.44
9/26/16,3.76,54.52,58.28
10/3/16,5.56,49.96,55.52
10/10/16,5.44,57.52,62.97
10/17/16,2.15,58.70,60.84
10/24/16,1.11,60.36,61.47
10/31/16,0.29,58.39,58.67
11/6/16,0.01,47.67,47.68
11/13/16,0.07,51.39,51.46
11/20/16,0.03,54.65,54.69
11/27/16,0.03,56.55,56.57
12/4/16,0.00,55.25,55.25
12/11/16,0.00,56.33,56.33
12/18/16,0.07,51.49,51.56
12/25/16,0.07,41.68,41.75
1/1/17,0.03,46.30,46.32
1/8/17,0.01,43.14,43.15
1/15/17,0.00,50.47,50.47
1/22/17,0.00,57.75,57.75
1/29/17,0.00,50.64,50.64
2/5/17,0.00,49.82,49.82
2/12/17,0.00,52.85,52.85
2/19/17,0.00,55.05,55.05
2/26/17,0.00,58.61,58.61
3/5/17,0.00,61.31,61.31
